# Numero de nodos n =4+1
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
99 0.1 1 1.00015442 0.0001544199298
100 0.111 1 1.000102721 0.0001027211584
101 0.122 1 1.000025279 2.527923933E-05
102 0.133 1 0.9999249757 7.502429761E-05
103 0.144 1 0.9998076093 0.0001923906663
104 0.155 1 0.9996817815 0.0003182184505
105 0.166 1 0.9995585292 0.0004414707516
106 0.177 1 0.9994507028 0.0005492971757
107 0.188 1 0.9993721038 0.0006278962058
108 0.199 1 0.9993364142 0.0006635857574
109 0.21 1 0.9993559682 0.0006440317754
110 0.221 1 0.9994404325 0.000559567543
111 0.232 1 0.9995954792 0.0004045208006
112 0.243 1 0.9998215471 0.0001784529234
113 0.254 1 1.000112795 0.0001127947671
114 0.265 1 1.000456357 0.0004563570386
115 0.276 1 1.000832011 0.0008320114688
116 0.287 1 1.001212357 0.001212356761
117 0.298 1 1.001563589 0.001563588915
118 0.309 1 1.001846939 0.001846939402
119 0.32 1 1.002020809 0.002020809492
120 0.331 1 1.002043597 0.00204359712
121 0.342 1 1.001877168 0.001877167507
122 0.353 1 1.001490867 0.001490866861
123 0.364 1 1.000865921 0.0008659210933
124 0.375 1 1 1.142086425E-12
125 0.386 1 0.9989116641 0.001088335946
126 0.397 1 0.9976443481 0.00235565188
127 0.408 1 0.9962694771 0.00373052291
128 0.419 1 0.9948882563 0.005111743737
129 0.43 1 0.993631638 0.006368362045
130 0.441 1 0.9926579397 0.007342060274
131 0.452 1 0.9921475836 0.007852416366
132 0.463 1 0.9922944446 0.007705555358
133 0.474 1 0.9932933452 0.006706654815
134 0.485 1 0.9953233168 0.004676683212
135 0.496 1 0.9985263738 0.001473626217
136 0.507 1 1.002981713 0.002981712599
137 0.518 1 1.008675468 0.008675467867
138 0.529 1 1.015466425 0.01546642518
139 0.54 1 1.023048413 0.02304841331
140 0.551 1 1.030910475 0.03091047461
141 0.562 1 1.03829634 0.03829634048
142 0.573 1 1.044165214 0.0441652135
143 0.584 1 1.047156372 0.04715637246
144 0.595 1 1.045560658 0.04556065797
145 0.606 1 1.03730245 0.03730244983
146 0.617 1 1.01993629 0.0199362897
147 0.628 1 0.9906628067 0.009337193327
148 0.639 1 0.9463690332 0.05363096684
149 0.65 1 0.8836985102 0.1163014898
150 0.661 1 0.7991567204 0.2008432796
151 0.672 1 0.6892572909 0.3107427091
152 0.683 1 0.5507139943 0.4492860057
153 0.694 1 0.3806827612 0.6193172388
154 0.705 -1 0.1770565835 1.177056583
155 0.716 -1 -0.06118578141 0.9388142186
156 0.727 -1 -0.333579153 0.666420847
157 0.738 -1 -0.6377248705 0.3622751295
158 0.749 -1 -0.9688077475 0.03119225249
159 0.76 -1 -1.319093665 0.3190936645
160 0.771 -1 -1.677432264 0.6774322643
161 0.782 -1 -2.028798943 1.028798943
162 0.793 -1 -2.353922285 1.353922285
163 0.804 -1 -2.629057607 1.629057607
164 0.815 -1 -2.825984802 1.825984802
165 0.826 -1 -2.912329585 1.912329585
166 0.837 -1 -2.85233215 1.85233215
167 0.848 -1 -2.608216571 1.608216571
168 0.859 -1 -2.142348802 1.142348802
169 0.87 -1 -1.420411376 0.4204113758
170 0.881 -1 -0.4158697543 0.5841302457
171 0.892 -1 0.8839404666 1.883940467
172 0.903 -1 2.469713772 3.469713772
173 0.914 -1 4.299598726 5.299598726
174 0.925 -1 6.285599799 7.285599799
175 0.936 -1 8.276317119 9.276317119
176 0.947 -1 10.03527725 11.03527725
177 0.958 -1 11.21398675 12.21398675
178 0.969 -1 11.31870288 12.31870288
179 0.98 -1 9.66976072 10.66976072
180 0.991 -1 5.352121264 6.352121264


# Numero de nodos n =32 
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
0 -0.989 -1 1511.613302 1512.613302
1 -0.978 -1 1399.517302 1400.517302
2 -0.967 -1 879.5405539 880.5405539
3 -0.956 -1 411.5154884 412.5154884
4 -0.945 -1 112.4164115 113.4164115
5 -0.934 -1 -34.10617217 33.10617217
6 -0.923 -1 -80.15894461 79.15894461
7 -0.912 -1 -74.15192152 73.15192152
8 -0.901 -1 -49.28638496 48.28638496
9 -0.89 -1 -23.88540809 22.88540809
10 -0.879 -1 -5.548452368 4.548452368
11 -0.868 -1 4.448570633 5.448570633
12 -0.857 -1 7.791358784 8.791358784
13 -0.846 -1 7.006588522 8.006588522
14 -0.835 -1 4.357462859 5.357462859
15 -0.824 -1 1.425623317 2.425623317
16 -0.813 -1 -0.9145469998 0.08545300016
17 -0.802 -1 -2.342458312 1.342458312
18 -0.791 -1 -2.891287476 1.891287476
19 -0.78 -1 -2.770759012 1.770759012
20 -0.769 -1 -2.239533188 1.239533188
21 -0.758 -1 -1.529199948 0.5291999484
22 -0.747 -1 -0.8100307277 0.1899692723
23 -0.736 -1 -0.1850679523 0.8149320477
24 -0.725 -1 0.2998847237 1.299884724
25 -0.714 -1 0.6398567347 1.639856735
26 -0.703 -1 0.8540431586 1.854043159
27 -0.692 1 0.9721488747 0.02785112528
28 -0.681 1 1.024909053 0.02490905275
29 -0.67 1 1.038629815 0.03862981457
30 -0.659 1 1.032923496 0.03292349648
31 -0.648 1 1.020607106 0.02060710566
32 -0.637 1 1.008809459 0.008809459087
33 -0.626 1 1.000546702 0.0005467019948
34 -0.615 1 0.9962758418 0.003724158155
35 -0.604 1 0.9951607878 0.00483921224
36 -0.593 1 0.9959566026 0.00404339737
37 -0.582 1 0.9975290282 0.00247097181
38 -0.571 1 0.9990848428 0.0009151571631
39 -0.56 1 1.000207355 0.0002073545335
40 -0.549 1 1.000784556 0.0007845561001
41 -0.538 1 1.000897626 0.0008976262456
42 -0.527 1 1.00071386 0.0007138601434
43 -0.516 1 1.000406698 0.0004066984244
44 -0.505 1 1.000109287 0.0001092870236
45 -0.494 1 0.999897727 0.0001022730278
46 -0.483 1 0.9997952349 0.0002047650626
47 -0.472 1 0.9997874931 0.0002125069052
48 -0.461 1 0.9998410028 0.0001589971697
49 -0.45 1 0.9999189185 8.108153843E-05
50 -0.439 1 0.9999916143 8.385654856E-06
51 -0.428 1 1.00004151 4.150950994E-05
52 -0.417 1 1.000063165 6.316486429E-05
53 -0.406 1 1.000060368 6.036813705E-05
54 -0.395 1 1.000041983 4.198302821E-05
55 -0.384 1 1.000017985 1.798547934E-05
56 -0.373 1 0.9999965673 3.432706838E-06
57 -0.362 1 0.9999826386 1.736140016E-05
